PhraseId,Sentiment
156061,3
156062,3
156063,0
156064,1
156065,1
156066,0
156067,0
156068,0
156069,0
156070,0
156071,0
156072,0
156073,0
156074,0
156075,0
156076,2
156077,0
156078,2
156079,2
156080,1
156081,0
156082,0
156083,2
156084,0
156085,0
156086,1
156087,0
156088,0
156089,2
156090,0
156091,2
156092,2
156093,3
156094,3
156095,0
156096,0
156097,2
156098,1
156099,0
156100,1
156101,0
156102,2
156103,2
156104,3
156105,0
156106,0
156107,0
156108,1
156109,0
156110,0
156111,4
156112,0
156113,4
156114,1
156115,1
156116,1
156117,0
156118,1
156119,0
156120,0
156121,0
156122,0
156123,3
156124,0
156125,0
156126,4
156127,0
156128,2
156129,0
156130,2
156131,0
156132,2
156133,1
156134,0
156135,0
156136,3
156137,0
156138,3
156139,1
156140,4
156141,0
156142,0
156143,2
156144,0
156145,0
156146,0
156147,0
156148,0
156149,0
156150,0
156151,0
156152,0
156153,0
156154,3
156155,2
156156,0
156157,2
156158,0
156159,2
156160,0
156161,1
156162,0
156163,0
156164,0
156165,0
156166,3
156167,0
156168,3
156169,0
156170,0
156171,3
156172,3
156173,0
156174,3
156175,0
156176,0
156177,0
156178,1
156179,0
156180,2
156181,2
156182,0
156183,2
156184,0
156185,2
156186,1
156187,1
156188,4
156189,0
156190,1
156191,4
156192,2
156193,0
156194,4
156195,0
156196,0
156197,0
156198,0
156199,0
156200,0
156201,2
156202,0
156203,1
156204,0
156205,1
156206,0
156207,1
156208,0
156209,0
156210,0
156211,0
156212,0
156213,4
156214,0
156215,0
156216,4
156217,0
156218,0
156219,3
156220,0
156221,3
156222,3
156223,1
156224,1
156225,1
156226,1
156227,0
156228,0
156229,1
156230,0
156231,1
156232,0
156233,0
156234,0
156235,0
156236,4
156237,0
156238,4
156239,0
156240,4
156241,4
156242,0
156243,4
156244,3
156245,0
156246,3
156247,3
156248,0
156249,0
156250,1
156251,1
156252,1
156253,1
156254,1
156255,1
156256,1
156257,4
156258,0
156259,0
156260,2
156261,0
156262,0
156263,0
156264,0
156265,0
156266,0
156267,0
156268,0
156269,0
156270,0
156271,0
156272,3
156273,0
156274,3
156275,3
156276,3
156277,3
156278,1
156279,1
156280,1
156281,1
156282,1
156283,0
156284,1
156285,0
156286,3
156287,4
156288,3
